Country,Type,Deaths
Egypt,Epidemic,10291
Egypt,Extreme temperature,167
Egypt,Flood,774
Egypt,Mass movement (dry),132
Egypt,Storm,152
Egypt,Total,12112
El Salvador,Drought,0
El Salvador,Earthquake,3906
El Salvador,Epidemic,522
El Salvador,Extreme temperature,1
El Salvador,Flood,683
El Salvador,Landslide,86
El Salvador,Storm,2910
El Salvador,Volcanic activity,2
El Salvador,Total,8110
Equatorial Guinea,Epidemic,15
Equatorial Guinea,Total,15
Eritrea,Drought,0
Eritrea,Flood,0
Eritrea,Insect infestation,0
Eritrea,Storm,3
Eritrea,Total,3
Estonia,Extreme temperature,11
Estonia,Storm,0
Estonia,Total,11
Ethiopia,Drought,402367
Ethiopia,Earthquake,54
Ethiopia,Epidemic,11796
Ethiopia,Flood,2116
Ethiopia,Insect infestation,0
Ethiopia,Landslide,115
Ethiopia,Mass movement (dry),13
Ethiopia,Volcanic activity,69
Ethiopia,Wildfire,0
Ethiopia,Total,416530
Fiji,Drought,0
Fiji,Earthquake,0
Fiji,Epidemic,0
Fiji,Flood,71
Fiji,Storm,583
Fiji,Total,654
Finland,Flood,0
Finland,Storm,0
Finland,Total,0
France,Drought,0
France,Earthquake,58
France,Epidemic,21
France,Extreme temperature,27593
France,Flood,322
France,Landslide,297
France,Storm,469
France,Wildfire,112
France,Total,28872
French Guiana,Flood,0
French Guiana,Landslide,10
French Guiana,Total,10
French Polynesia,Flood,0
French Polynesia,Landslide,23
French Polynesia,Storm,8
French Polynesia,Total,31
Gabon,Epidemic,116
Gabon,Flood,1
Gabon,Storm,0
Gabon,Total,117
Gambia,Drought,0
Gambia,Epidemic,341
Gambia,Flood,70
Gambia,Insect infestation,0
Gambia,Storm,9
Gambia,Wildfire,0
Gambia,Total,420
Georgia,Drought,0
Georgia,Earthquake,15
Georgia,Flood,61
Georgia,Storm,0
Georgia,Total,76
Germany,Earthquake,1
Germany,Epidemic,0
Germany,Extreme temperature,9424
Germany,Flood,61
Germany,Landslide,5
Germany,Storm,222
Germany,Total,9713
Germany Dem Rep,Storm,0
Germany Dem Rep,Total,0
Germany Fed Rep,Earthquake,0
Germany Fed Rep,Extreme temperature,0
Germany Fed Rep,Flood,13
Germany Fed Rep,Storm,488
Germany Fed Rep,Wildfire,0
Germany Fed Rep,Total,501
Ghana,Drought,0
Ghana,Earthquake,22
Ghana,Epidemic,1274
Ghana,Flood,517
Ghana,Storm,20
Ghana,Wildfire,4
Ghana,Total,1837
Greece,Drought,0
Greece,Earthquake,1272
Greece,Extreme temperature,1129
Greece,Flood,123
Greece,Storm,128
Greece,Wildfire,206
Greece,Total,2858
Grenada,Drought,0
Grenada,Flood,0
Grenada,Storm,45
Grenada,Total,45
Guadeloupe,Earthquake,1
Guadeloupe,Epidemic,0
Guadeloupe,Flood,0
Guadeloupe,Storm,2052
Guadeloupe,Volcanic activity,0
Guadeloupe,Total,2053
Guam,Earthquake,0
Guam,Storm,18
Guam,Total,18
Guatemala,Drought,41
Guatemala,Earthquake,27726
Guatemala,Epidemic,633
Guatemala,Extreme temperature,6
Guatemala,Flood,40922
Guatemala,Landslide,678
Guatemala,Mass movement (dry),59
Guatemala,Storm,2553
Guatemala,Volcanic activity,7461
Guatemala,Wildfire,0
Guatemala,Total,80079
Guinea,Drought,12
Guinea,Earthquake,275
Guinea,Epidemic,3630
Guinea,Flood,28
Guinea,Landslide,7
Guinea,Storm,4
Guinea,Wildfire,0
Guinea,Total,3956
Guinea-Bissau,Drought,0
Guinea-Bissau,Epidemic,3032
Guinea-Bissau,Flood,5
Guinea-Bissau,Insect infestation,0
Guinea-Bissau,Storm,4
Guinea-Bissau,Wildfire,3
Guinea-Bissau,Total,3044
Guyana,Drought,0
Guyana,Flood,34
Guyana,Total,34
Haiti,Drought,0
Haiti,Earthquake,222593
Haiti,Epidemic,7168
Haiti,Flood,4060
Haiti,Landslide,262
